Time,Video_ID,Arena,Day,Camera,Session,Tank,Group,Mark,Sex,Fish_ID,Date,Notes,tot_dist,mean_speed,freeze Not Moving / center-point Frequency,freeze Not Moving / center-point Cumulative Duration s,in_det_zone 5-10cm / center-point Frequency,in_det_zone 5-10cm / center-point Cumulative Duration s,in_det_zone 0-5cm / center-point Frequency,zone_05_dur,in_det_zone 20-25cm / center-point Frequency,in_det_zone 20-25cm / center-point Cumulative Duration s,in_det_zone 15-20cm / center-point Frequency,in_det_zone 15-20cm / center-point Cumulative Duration s,in_det_zone 30-35cm / center-point Frequency,in_det_zone 30-35cm / center-point Cumulative Duration s,in_det_zone 10-15cm / center-point Frequency,in_det_zone 10-15cm / center-point Cumulative Duration s,in_det_zone 35-40cm / center-point Frequency,in_det_zone 35-40cm / center-point Cumulative Duration s,in_det_zone 25-30cm / center-point Frequency,in_det_zone 25-30cm / center-point Cumulative Duration s,in_zone Near / center-point Frequency,in_zone Near / center-point Cumulative Duration s,in_zone Middle / center-point Frequency,in_zone Middle / center-point Cumulative Duration s,in_zone Far / center-point Frequency,in_zone Far / center-point Cumulative Duration s,risk_3 Arena / center-point Cumulative Duration s,move Moving / center-point Cumulative Duration s
3-6,1.1,1,Wednesday,1,1,HA_T2,Treatment,Gre.Whi,male,a6833,,,1819.86,10.1103,2,6.39998,21,11.12,8,8.47998,67,25.5999,58,30.0799,37,47.2799,38,23.5199,8,5.51999,62,28.3999,23,35.2799,54,73.9998,32,70.7198,180,165.36
3-6,1.2,2,Wednesday,1,1,HA_T2,Treatment,Gre.Blu,female,a7684,,,853.85,4.74362,1,0.079999,16,9.59997,9,155.36,4,1.84,7,3.51999,2,0.879998,12,6.87998,1,0.719998,3,1.2,5,170.32,6,7.19998,2,2.47999,180,151.28
3-6,1.3,3,Wednesday,1,1,HA_T2,Treatment,Pur._,male,a7167,,,1823.52,10.1533,0,0,67,43.1999,33,33.1199,41,15.76,43,18.32,27,17.04,57,28.3999,10,10.08,37,14.08,25,98.7998,42,45.0399,18,36.1599,180,175.52
3-6,1.4,4,Wednesday,1,1,HA_T2,Treatment,Red.Pur,female,a7222,,,1859.79,10.3322,0,0,56,28.7999,30,53.9999,43,14,48,18.16,26,23.8399,52,18.8,10,8.71998,37,13.68,25,95.5998,45,42.3199,21,42.0799,180,177.12
3-6,2.1,5,Wednesday,2,1,HA_T2,Treatment,Ora.Pur,female,a8071,,,1204.32,6.69068,0,0,13,9.99998,3,1.28,41,30.4799,30,20.08,37,55.4399,23,14.48,10,6.31998,52,41.9199,14,20.9599,38,67.6798,25,91.3598,180,170.88
3-6,2.2,6,Wednesday,2,1,HA_T2,Treatment,Blu.Ora,female,a6883,,,1220.46,6.78037,1,0.08,20,15.12,16,157.04,6,1.36,6,1.2,2,0.639998,7,2.4,0,0,5,2.23999,3,174.08,6,3.67999,3,2.23999,180,157.36
3-6,2.3,7,Wednesday,2,1,HA_T2,Treatment,Pin.Blu,female,a7288,,,1091.2,6.06224,2,0.24,31,25.9199,16,59.0399,22,10.64,26,13.68,16,13.36,29,20.0799,8,27.1199,18,10.16,15,99.6798,22,33.5999,8,46.7199,180,154.64
3-6,2.4,8,Wednesday,2,1,HA_T2,Treatment,Whi._,female,a8050,,,931.855,5.17698,0,0,31,30.5599,21,104.24,9,4.63999,10,5.51998,8,8.23998,16,10.88,4,10.8,9,5.11999,7,143.28,11,14.16,5,22.5599,180,173.2
3-6,1.1,1,Wednesday,1,2,HA_T2,Treatment,Yel.Gre,female,a8067,,,1872.46,10.4026,0,0,58,38.7999,32,34.7999,37,15.2,43,23.3599,27,19.68,49,27.4399,10,5.99998,33,14.72,25,92.0798,43,51.8399,18,36.0799,180,177.36
3-6,1.2,2,Wednesday,1,2,HA_T2,Treatment,Red.Red,male,a7570,,,665.215,3.69565,1,0.079999,18,12.96,14,157.52,3,1.83999,4,1.91999,2,1.2,7,3.59999,1,0.16,2,0.799998,3,173.52,3,4.55999,1,1.91999,180,143.52
3-6,1.3,3,Wednesday,1,2,HA_T2,Treatment,Bro.Blu,male,a7251,,,1425.73,7.92075,0,0,30,26.7199,9,10.16,44,29.1199,53,37.2799,12,19.5999,49,34.9599,3,1.28,28,20.8799,30,60.5599,46,86.5598,16,32.8799,180,177.12
3-6,1.4,4,Wednesday,1,2,HA_T2,Treatment,Bro.Gre,male,a7724,,,1625.72,9.03177,0,0,47,32.8799,26,69.2798,35,12.48,37,13.68,24,16.96,39,14.64,9,6.55998,32,13.52,19,112.32,34,35.1999,15,32.4799,180,174.24
3-6,2.1,5,Wednesday,2,2,HA_T2,Treatment,Whi.Pin,male,a7375,,,788.438,4.38022,5,105.6,22,11.04,9,6.39999,21,7.59999,23,93.4398,12,9.75998,24,7.75998,4,2.95999,18,41.0399,12,22.8799,22,140.16,9,16.96,180,58.0799
3-6,2.2,6,Wednesday,2,2,HA_T2,Treatment,Red.Ora,female,a7089,,,1396.51,7.75839,1,8.15998,44,37.5999,30,110,21,5.91998,21,5.35999,10,6.15998,24,6.79998,4,1.76,16,6.39998,11,152.56,19,16,8,11.44,180,157.76
3-6,2.3,7,Wednesday,2,2,HA_T2,Treatment,Pin._,male,a7054,,,1854.04,10.3002,4,13.84,7,2.23999,1,0.559999,53,16.96,39,18.24,58,78.1598,20,8.47998,28,35.9999,58,19.36,11,7.59998,39,45.1199,29,127.28,180,155.44
3-6,2.4,8,Wednesday,2,2,HA_T2,Treatment,Ora.Yel,male,a7411,,,907.813,5.04342,4,0.479998,19,15.44,13,141.44,3,0.799998,4,1.36,4,2.31999,9,4.63999,3,13.04,3,0.959998,3,160.88,4,3.03999,2,16.08,180,146.08
3-6,1.1,1,Wednesday,1,3,HA_T2,Treatment,Pur.Pur,female,a6932,,"Re-Run, Fish Jumped Out",452.958,2.51644,10,11.04,3,2.95999,1,1.52,2,0.559999,2,0.479998,23,41.7599,3,2.4,20,125.28,5,5.03999,2,5.83998,4,3.11999,3,171.04,180,83.7598
3-6,1.2,2,Wednesday,1,3,HA_T2,Treatment,Bla.Bro,male,a7142,,Re-Run because trial was stopped for fish that jumped out,1229.2,6.82892,1,3.03999,28,21.1999,22,141.84,8,2.56,8,2.47999,4,3.91999,10,4.07999,0,0,8,3.91999,5,166.08,8,6.87998,4,7.03998,180,167.12
3-6,1.3,3,Wednesday,1,3,HA_T2,Treatment,Pin.Pin,female,a6840,,Re-Run because trial was stopped for fish that jumped out,1570.87,8.75822,1,2.55999,28,18.32,8,5.43999,35,17.84,32,15.36,32,61.7598,35,17.44,7,4.87999,42,38.9599,16,37.0399,38,46.7199,23,96.2398,180,146.88
3-6,1.4,4,Wednesday,1,3,HA_T2,Treatment,Blu.Bla,male,a7461,,Re-Run because trial was stopped for fish that jumped out,1846.56,10.2587,0,0,52,25.9199,31,55.3599,37,10.72,40,12.08,41,20.08,41,12.16,22,32.9599,36,10.72,21,88.2398,38,30.9599,18,60.7998,180,174.88
3-6,2.1,5,Wednesday,2,3,HA_C1,Control,Gre.Yel,male,a6859,,,75.0354,0.416865,4,163.36,0,0,0,0,4,2.39999,3,57.7599,1,0.559998,0,0,0,0,3,119.28,0,0,2,178.24,1,1.75999,180,7.27998
3-6,2.2,6,Wednesday,2,3,HA_C1,Control,Ora.Pin,female,a7498,,,1232.53,6.8474,0,0,49,30.4799,35,134.4,6,1.99999,10,3.75999,3,1.91999,20,5.99998,0,0,6,1.44,9,169.28,11,7.75998,3,2.95999,180,164
3-6,2.3,7,Wednesday,2,3,HA_C1,Control,Red.Yel,male,a7563,,,175.199,0.973331,2,159.6,0,0,0,0,6,3.59999,3,0.879997,7,88.3998,1,0.559999,0,0,11,86.5598,1,0.319999,5,5.83998,5,173.84,180,18.32
3-6,2.4,8,Wednesday,2,3,HA_C1,Control,Ora.Bro,male,a7152,,,719.091,3.99496,6,0.559996,15,9.99998,11,165.84,0,0,1,0.799998,0,0,5,3.35999,0,0,0,0,4,178.08,3,1.92,0,0,180,126.16
3-6,1.1,1,Wednesday,1,4,HA_C1,Control,Gre.Gre,female,a7698,,,1983.78,11.021,0,0,32,19.5999,12,15.2,58,24.6399,55,22.8799,56,29.3599,46,21.28,28,24.1599,56,22.8799,25,47.9199,53,62.7198,28,69.3598,180,176.16
3-6,1.2,2,Wednesday,1,4,HA_C1,Control,Pin.Ora,male,a7555,,,1559.21,8.66232,0,0,54,39.1999,32,76.6398,23,12.48,33,16.4,8,9.75997,39,19.1999,1,0.08,15,6.23999,18,128.48,24,37.1999,7,14.32,180,177.84
3-6,1.3,3,Wednesday,1,4,HA_C1,Control,Red.Red,female,a6899,,,1143.03,6.35019,0,0,0,0,0,0,47,72.0798,15,20.0799,4,3.35999,0,0,0,0,35,84.4798,0,0,32,127.52,31,52.4799,180,171.92
3-6,1.4,4,Wednesday,1,4,HA_C1,Control,Pur.Yel,male,a7272,,,1223.97,6.79987,0,0,33,24.8799,21,107.44,20,7.83998,19,7.83998,13,10.72,21,9.83998,5,4.55999,17,6.87998,11,139.12,20,21.12,10,19.7599,180,169.04
3-6,2.1,5,Wednesday,2,4,HA_C1,Control,Ora.Bla,male,a7403,,,1057.06,5.87255,6,3.51999,0,0,0,0,33,19.8399,11,8.15998,42,47.2799,0,0,20,78.3198,45,26.3999,0,0,20,35.9199,21,144.08,180,142.24
3-6,2.2,6,Wednesday,2,4,HA_C1,Control,Whi.Pur,female,a7376,,,1166.67,6.48152,0,0,39,23.5999,27,139.28,8,3.35999,11,3.83999,3,1.28,18,6.47998,1,0.799998,5,1.36,7,167.84,10,9.11998,3,3.03999,180,166.56
3-6,2.3,7,Wednesday,2,4,HA_C1,Control,Bro.Bla,female,a7082,,,3.86767,0.0214871,2,178.56,0,0,0,0,1,180,0,0,0,0,0,0,0,0,0,0,0,0,1,180,0,0,180,0
3-6,2.4,8,Wednesday,2,4,HA_C1,Control,Yel._,male,a7475,,,693.627,3.85349,10,0.959998,1,0.24,1,178.48,1,0.159999,1,0.24,1,0.399999,1,0.239999,0,0,1,0.24,1,178.88,1,0.559999,1,0.559999,180,127.52
3-6,1.1,1,Wednesday,1,5,HA_C1,Control,Blu.Blu,female,a7659,,,1459.21,8.10672,0,0,1,0.719998,0,0,85,53.1199,66,49.2799,14,11.52,24,15.76,0,0,55,49.5999,12,5.99998,45,130.8,33,43.1999,180,176
3-6,1.2,2,Wednesday,1,5,HA_C1,Control,Blu.Yel,male,a7002,,,719.211,3.99562,2,0.159999,14,9.83997,14,166.4,2,0.719999,1,0.319999,1,0.879997,1,0.319999,0,0,2,1.52,1,176.4,2,1.68,1,1.91999,180,152.48
3-6,1.3,3,Wednesday,1,5,HA_C1,Control,Red.Pin,male,a6985,,,1874.56,10.4142,1,0.159999,44,23.9999,22,37.3599,47,16,47,19.84,30,25.5199,45,20.8799,12,19.92,41,16.48,26,74.7198,47,48.3999,22,56.8799,180,172.96
3-6,1.4,4,Wednesday,1,5,HA_C1,Control,Whi.Blu,male,a7179,,,1404.12,7.80069,0,0,37,19.8399,24,93.1998,24,7.75999,26,8.55997,25,17.2,27,8.71998,14,16,23,8.71998,14,118.72,25,21.6799,12,39.5999,180,174.72
3-6,2.1,5,Wednesday,2,5,HA_C1,Control,Pin.Whi,female,a7281,,,1410.26,7.83481,5,15.04,0,0,0,0,24,10.48,8,3.91999,62,109.84,2,0.879998,31,29.3599,50,25.5199,0,0,22,22.3199,23,157.68,180,154.96
3-6,2.2,6,Wednesday,2,5,HA_C1,Control,Bro.Bro,male,a7720,,,1140.97,6.33874,0,0,21,14.16,16,150.48,6,2.07999,7,2.32,6,2.87999,9,4.39999,3,1.84,6,1.83999,5,167.68,8,6.39999,3,5.91998,180,166.08
3-6,2.3,7,Wednesday,2,5,HA_C1,Control,Yel.Red,female,a8068,,,1309.66,7.27593,2,1.2,20,12.16,13,35.3599,31,10.8,26,9.19998,46,34.3999,19,8.07998,24,52.8799,39,17.12,11,52.7999,27,27.0399,17,100.16,180,152.48
3-6,2.4,8,Wednesday,2,5,HA_C1,Control,Red.Ora,male,a7614,,,716.268,3.97928,8,0.959997,6,8.39998,6,169.44,1,1.04,2,0.719998,0,0,1,0.399999,0,0,0,0,1,178.08,1,1.92,0,0,180,135.6
3-6,1.1,1,Wednesday,1,6,HA_T1,Treatment,Ora.Ora,male,a7412,,,1678.1,9.32279,0,0,47,47.0399,23,30.3999,33,14.88,40,18.64,22,17.52,45,23.1199,9,12.8,28,15.6,22,93.2798,38,46.0799,15,40.6399,180,179.2
3-6,1.2,2,Wednesday,1,6,HA_T1,Treatment,_.Pur,female,a6825,,,394.769,2.19317,8,51.3599,4,9.27998,4,132.48,0,0,6,13.68,0,0,6,24.5599,0,0,0,0,1,143.28,1,36.7199,0,0,180,93.6798
3-6,1.3,3,Wednesday,1,6,HA_T1,Treatment,Ora.Ora,female,a7379,,,1962.59,10.9033,0,0,62,42.9599,31,31.1999,45,14.56,48,16.64,23,27.5199,57,24.6399,4,2.15999,41,20.3199,28,92.0798,49,44.3999,22,43.5199,180,176.72
3-6,1.4,4,Wednesday,1,6,HA_T1,Treatment,Bro.Bro,female,a7662,,,1421.61,7.89787,2,0.16,44,34.6399,26,87.5998,23,8.47998,24,9.91998,15,12.32,31,16.24,4,1.91999,22,8.87998,15,133.76,25,25.9999,11,20.24,180,174.64
3-6,2.1,5,Wednesday,2,6,HA_T1,Treatment,Ora._,male,a7155,,,1626.43,9.03575,0,0,0,0,0,0,43,35.5999,13,11.2,38,68.7998,1,0.479999,6,7.19998,62,56.7199,0,0,31,61.1198,31,118.88,180,178.16
3-6,2.2,6,Wednesday,2,6,HA_T1,Treatment,Ora.Pur,male,a7062,,,678.805,3.77115,5,18.64,15,19.12,10,103.76,9,7.35998,10,8.63998,3,4.95999,11,9.19998,0,0,7,26.9599,6,128,9,23.5199,4,28.4799,180,130.32
3-6,2.3,7,Wednesday,2,6,HA_T1,Treatment,Bla.Pur,female,a6925,,,1387.11,7.70617,0,0,3,2.39999,1,0.959998,54,49.4399,29,19.12,36,40.0799,13,10.64,0,0,71,57.3599,9,9.83997,45,92.3198,37,77.8398,180,169.04
3-6,2.4,8,Wednesday,2,6,HA_T1,Treatment,Pin.Pin,female,a7550,,,1342.31,7.4573,1,0.16,44,30.8799,26,72.0798,17,9.43998,21,9.51997,18,15.36,29,13.28,9,23.0399,16,6.39998,13,112.48,20,24.3999,8,43.1199,180,172.08
3-6,1.1,1,Wednesday,1,7,HA_T1,Treatment,Bla._,male,a7599,,,1524.77,8.47097,0,0,35,34.8799,16,12.32,40,21.6799,34,18.56,39,36.8799,36,21.1999,15,12.4,46,22.0799,17,62.0798,38,53.1999,21,64.7198,180,173.28
3-6,1.2,2,Wednesday,1,7,HA_T1,Treatment,Blu.Whi,male,a6998,,,1550.15,8.61197,1,0.08,44,25.6799,30,127.04,21,5.27998,23,4.79999,8,5.11999,26,6.31998,0,0,17,5.75999,12,157.44,21,13.12,10,9.43998,180,168.64
3-6,1.3,3,Wednesday,1,7,HA_T1,Treatment,Red.Red,male,a7468,,,1416.39,7.86887,2,0.16,36,26.2399,16,35.2799,28,13.84,37,21.5199,24,24.3199,41,22.3999,13,19.5199,24,16.88,22,76.4798,36,47.9999,14,55.5199,180,170.4
3-6,1.4,4,Wednesday,1,7,HA_T1,Treatment,Bro.Yel,female,a7087,,,1530.96,8.50536,1,0.08,50,27.5199,29,58.3199,34,14,39,17.92,24,21.9199,43,18.72,8,7.67998,32,13.68,22,97.7598,37,42.8799,16,39.1199,180,168.4
3-6,2.1,5,Wednesday,2,7,HA_T1,Treatment,Red.Pin,female,a6894,,,1748.52,9.714,1,0.08,33,17.76,13,26.7999,43,14.08,43,17.36,47,35.5199,42,15.28,24,35.0399,46,18.16,23,55.4399,43,41.5199,21,82.9598,180,167.92
3-6,2.2,6,Wednesday,2,7,HA_T1,Treatment,Pin.Bro,male,a7191,,,1356.56,7.53645,0,0,61,45.6799,37,61.8398,28,18,40,21.4399,1,1.04,47,24.1599,0,0,12,7.83998,22,123.84,29,51.5199,6,4.63999,180,174.48
3-6,2.3,7,Wednesday,2,7,HA_T1,Treatment,Pin.Bro,female,a7697,,,1005.27,5.58483,7,46.9599,4,1.2,2,1.12,31,10.56,21,9.83998,51,115.28,10,4.07999,26,17.52,42,20.3999,7,4.55999,27,28.0799,21,147.36,180,114.48
3-6,2.4,8,Wednesday,2,7,HA_T1,Treatment,Bro.Whi,male,a7723,,,1211.98,6.73325,2,0.719998,41,37.9999,27,108.48,9,3.51999,15,7.35998,3,1.68,24,18.4,1,0.24,6,2.31999,15,159.12,17,17.6,3,3.27999,180,163.92
3-6,1.1,1,Wednesday,1,8,HA_T1,Treatment,_.Whi,male,a7269,,,262.941,1.46079,5,121.12,0,0,0,0,8,5.11999,6,4.79999,10,21.1999,3,1.44,1,0.719999,15,146.72,0,0,9,16.64,10,163.36,180,43.7599
3-6,1.2,2,Wednesday,1,8,HA_T1,Treatment,_.Red,female,a7319,,,438.9,2.43834,20,2.79999,2,1.84,2,177.76,0,0,0,0,0,0,1,0.399999,0,0,0,0,1,179.92,1,0.08,0,0,180,101.92
3-6,1.3,3,Wednesday,1,8,HA_T1,Treatment,Gre.Gre,female,a7292,,,409.459,2.28086,4,116.48,3,2.63999,0,0,10,9.67998,5,3.99999,10,17.28,5,2.07999,5,20.3199,13,123.84,2,4.31999,8,19.6,8,155.92,179.84,53.8399
3-6,1.4,4,Wednesday,1,8,HA_T1,Treatment,Red.Whi,male,a6991,,,952.765,5.29315,3,0.719998,24,23.8399,17,94.3198,15,6.55999,13,8.23998,9,33.0399,13,6.07999,2,1.12,14,6.79998,7,122.32,14,18.56,8,39.1199,180,157.76
3-6,2.1,5,Wednesday,2,8,HA_C3,Control,Gre.Pin,female,a7679,,,1231.84,6.84357,0,0,17,10.4,8,11.36,29,13.04,23,12.56,51,48.9599,18,8.15998,31,54.3999,35,21.1199,10,27.7599,26,33.6799,17,118.56,180,171.04
3-6,2.2,6,Wednesday,2,8,HA_C3,Control,Whi.Pin,female,a7232,,,2.6491,0.0147173,1,180,1,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180,0,0,0,0,180,0
3-6,2.3,7,Wednesday,2,8,HA_C3,Control,Pin.Blu,female,a7552,,,1128.73,6.27074,1,0.079999,34,27.5999,19,73.5198,18,10.88,21,13.36,16,22.5599,26,15.12,8,5.75999,17,11.2,12,111.76,21,32.1599,9,36.0799,180,171.28
3-6,2.4,8,Wednesday,2,8,HA_C3,Control,Red.Pin,female,a7044,,,1278.18,7.10104,2,0.159999,49,37.4399,33,101.92,17,5.43999,21,9.11998,7,5.51999,28,13.92,2,1.67999,12,4.95999,14,149.6,19,19.92,6,10.48,180,163.28
3-6,1.1,1,Wednesday,1,9,HA_C3,Control,Gre._,male,a7017,,,1641.65,9.12029,1,0.08,46,49.9999,22,25.8399,31,17.76,36,21.0399,12,14.4,43,34.7999,3,2.07999,23,14.08,23,98.3998,34,55.4399,12,26.1599,180,178.24
3-6,1.2,2,Wednesday,1,9,HA_C3,Control,Bro.Ora,male,a7361,,,1437.94,7.98855,0,0,42,23.5999,27,124.64,20,6.95998,26,8.07998,2,1.76,29,9.91998,0,0,10,5.03999,15,154.64,21,20.24,7,5.11998,180,172.48
3-6,1.3,3,Wednesday,1,9,HA_C3,Control,Blu.Pur,female,a6813,,,1442.5,8.01391,1,0.08,45,28.9599,22,49.9199,27,11.36,30,15.12,24,20.24,40,22.5599,10,17.52,28,14.32,18,96.9598,32,35.5999,15,47.4399,180,165.52
3-6,1.4,4,Wednesday,1,9,HA_C3,Control,Whi.Ora,male,a7264,,,1551.97,8.62208,0,0,46,30.5599,26,73.2798,27,10.64,32,13.84,17,14.96,39,18.32,7,6.71998,23,11.68,21,115.04,34,35.0399,14,29.9199,180,178.08
3-6,2.1,5,Wednesday,2,9,HA_C3,Control,Pur._,male,a7730,,,956.833,5.31575,4,52.4799,1,0.319999,0,0,28,14.48,17,7.75998,32,114.16,7,3.11999,11,17.12,38,23.0399,3,1.68,22,30.4799,20,147.84,180,107.68
3-6,2.2,6,Wednesday,2,9,HA_C3,Control,_.Pin,female,a7279,,,1041.66,5.79475,6,0.559997,29,13.12,20,140.88,14,4.63998,16,3.99999,9,6.15998,19,5.19998,3,2.07999,12,3.67999,10,157.2,16,11.84,7,10.72,180,138.48
3-6,2.3,7,Wednesday,2,9,HA_C3,Control,Pin.Gre,female,a6845,,,1820.48,10.1138,1,0.08,28,14.24,12,20.8799,45,16.64,42,16.96,47,47.1999,36,14.64,19,25.6799,51,23.7599,20,45.0399,45,45.5199,25,89.4398,180,176.16
3-6,2.4,8,Wednesday,2,9,HA_C3,Control,Red.Red,female,a7497,,,1321.3,7.34057,2,0.159999,42,28.1599,28,88.3198,17,10.56,21,9.83997,11,8.07998,26,13.12,6,13.28,13,8.63998,12,124.88,19,27.1199,8,27.9999,180,165.84
3-6,1.1,1,Wednesday,1,10,HA_C3,Control,Red.Pur,female,a7093,,,2042.71,11.3484,0,0,47,24.1599,21,25.4399,45,11.92,47,15.36,50,30.7999,50,17.36,26,39.1999,46,15.76,25,62.6398,47,36.8799,23,80.4798,180,176.08
3-6,1.2,2,Wednesday,1,10,HA_C3,Control,Red.Blu,male,a7466,,,1537.48,8.54158,0,0,46,24.2399,31,120.88,24,5.03998,26,6.71998,14,8.31998,29,7.99998,3,1.2,22,5.59999,14,150.56,25,16,11,13.44,180,169.76
3-6,1.3,3,Wednesday,1,10,HA_C3,Control,Blu.Gre,female,a6885,,,2054.2,11.4123,0,0,59,37.8399,26,26.3999,53,18.56,59,20.7999,31,23.9199,63,25.4399,12,10.4,43,16.64,32,82.5598,54,52.1599,23,45.2799,180,177.04
3-6,1.4,4,Wednesday,1,10,HA_C3,Control,Red.Whi,female,a7322,,,587.474,3.26376,14,9.03998,9,6.71998,8,137.2,2,0.639998,2,0.719999,9,20.3199,3,0.879997,7,11.12,4,2.39999,2,144.4,3,2.23999,2,33.3599,180,105.2
3-6,2.1,5,Wednesday,2,10,HA_C3,Control,Bla.Red,male,a7144,,,1520.29,8.4461,0,0,0,0,0,0,67,53.5999,50,44.9599,22,30.7999,14,12.08,2,0.559999,50,37.9999,9,5.67998,33,119.2,24,55.1199,180,175.92
3-6,2.2,6,Wednesday,2,10,HA_C3,Control,Red._,male,a7611,,,878.257,4.87922,4,14.96,22,8.47998,14,156.64,10,1.99999,12,2.31999,7,3.35999,15,3.59999,2,1.6,10,1.99999,7,167.76,12,5.75999,5,6.47998,180,119.84
3-6,2.3,7,Wednesday,2,10,HA_C3,Control,Bla.Pin,male,a8043,,,1236.61,6.87007,3,9.51997,0,0,0,0,41,26.1599,11,5.43998,57,91.5998,2,0.799998,11,4.79999,77,51.1999,1,0.239999,39,44.0799,39,135.68,180,144.8
3-6,2.4,8,Wednesday,2,10,HA_C3,Control,Red.Bro,male,a7564,,,774.223,4.30125,3,0.24,13,11.28,12,166.24,0,0,1,0.639998,0,0,3,1.83999,0,0,0,0,2,179.04,1,0.959998,0,0,180,153.84
3-6,1.1,1,Thursday,1,1,HA_T4,Treatment,Bro.Yel,male,a7728,,,1929.97,10.7221,1,0.08,15,8.23998,3,1.28,61,23.2799,49,17.92,56,51.1199,34,17.28,20,32.5599,69,28.3199,20,20.7999,53,56.7999,32,102.4,180,172.24
3-6,1.2,2,Thursday,1,1,HA_T4,Treatment,Gre.Bro,male,a7018,,,1748.39,9.7133,0,0,57,32.5599,34,73.1198,35,11.44,38,13.92,21,16.48,43,14.64,6,4.63999,32,13.2,21,115.44,37,34.4799,17,30.0799,180,176.24
3-6,1.3,3,Thursday,1,1,HA_T4,Treatment,Gre.Gre,male,a6869,,,1329.75,7.3875,1,1.12,32,28.4799,12,11.92,37,21.2799,44,30.5599,21,27.2799,45,30.7199,5,3.43999,33,26.3199,22,60.6398,40,70.3998,18,48.9599,180,172.48
3-6,1.4,4,Thursday,1,1,HA_T4,Treatment,Red.Yel,male,a7321,,,1332.05,7.40027,0,0,56,47.0399,35,74.7998,20,8.07998,29,14.8,7,9.19998,39,18.8,1,0.559998,14,6.71998,19,135.04,27,30.7999,9,14.16,180,176
3-6,2.1,5,Thursday,2,1,HA_T4,Treatment,Whi.Ora,male,a7646,,,1752.29,9.73497,0,0,21,19.76,4,4.63999,60,32.1599,52,29.5199,29,27.0399,41,30.0799,2,1.28,58,35.5199,24,46.0799,56,80.9598,32,52.9599,180,178
3-6,2.2,6,Thursday,2,1,HA_T4,Treatment,Bro.Ora,female,a7439,,,565.659,3.14256,11,1.52,3,1.2,2,177.68,0,0,0,0,0,0,1,1.12,0,0,0,0,2,179.36,1,0.639998,0,0,180,118.96
3-6,2.3,7,Thursday,2,1,HA_T4,Treatment,Red.Gre,female,a7562,,,1500.33,8.33519,1,0.16,57,26.4799,36,110.4,30,7.99998,36,9.99998,10,5.19998,41,11.76,0,0,23,8.15998,21,145.28,33,23.5999,13,11.12,180,152.64
3-6,2.4,8,Thursday,2,1,HA_T4,Treatment,Bla.Pin,male,a7138,,,564.163,3.13425,10,1.2,3,1.91999,2,178.08,0,0,0,0,0,0,0,0,0,0,0,0,1,180,0,0,0,0,180,120.88
3-6,1.1,1,Thursday,1,2,HA_T4,Treatment,Bla.Gre,female,a7608,,,1743.35,9.68532,0,0,53,33.5999,31,51.5199,34,11.84,34,13.2,30,24.5599,40,19.2,14,12.96,33,13.12,22,99.4398,38,34.3199,17,46.2399,180,175.92
3-6,1.2,2,Thursday,1,2,HA_T4,Treatment,Yel.Blu,female,a7214,,,394.885,2.19381,11,1.51999,1,0.24,1,176.56,2,0.479998,2,0.799999,1,1.04,1,0.239999,0,0,2,0.639999,1,176.96,2,1.6,1,1.44,180,83.9998
3-6,1.3,3,Thursday,1,2,HA_T4,Treatment,Bro.Whi,female,a7358,,,1832.24,10.1791,0,0,37,24.6399,15,25.5999,51,23.5999,50,23.8399,32,24.0799,46,18.72,11,14.72,46,24.7999,20,62.0798,44,62.0798,24,55.8399,180,176.16
3-6,1.4,4,Thursday,1,2,HA_T4,Treatment,_.Red,male,a8057,,,1401.79,7.78776,1,19.52,45,33.6799,30,91.1198,26,9.35998,27,10.72,9,13.2,30,12.64,0,0,21,8.95998,16,132.8,25,27.7599,11,19.12,180,154.56
3-6,2.1,5,Thursday,2,2,HA_T4,Treatment,Red.Pur,female,a8062,,,1435.3,7.97394,2,5.83998,47,41.5199,30,80.6398,24,8.71998,25,10.56,12,11.36,31,14.56,2,1.68,22,10.96,15,132.8,26,26.2399,12,20.9599,180,157.44
3-6,2.2,6,Thursday,2,2,HA_T4,Treatment,Gre.Pur,male,a7297,,,905.871,5.03263,4,0.559999,24,24.7199,20,151.6,0,0,1,0.719998,0,0,5,2.95999,0,0,0,0,4,178.24,3,1.75999,0,0,180,150.8
3-6,2.3,7,Thursday,2,2,HA_T4,Treatment,Ora.Whi,female,a7409,,,1695.9,9.4217,0,0,39,29.7599,20,33.1999,49,21.44,45,24.2399,24,25.8399,40,20.72,4,4.31999,44,20.4799,19,76.5598,38,61.0398,20,42.3999,180,176.64
3-6,2.4,8,Thursday,2,2,HA_T4,Treatment,Ora.Gre,female,a7061,,,1102.64,6.12578,4,10.32,27,18.6399,19,145.44,7,2,10,3.11999,4,2.87999,14,5.43999,1,1.2,5,1.28,7,168.24,9,6.79998,3,4.95999,180,146
3-6,1.1,1,Thursday,1,3,HA_T4,Treatment,Blu.Bla,male,a6891,,,1911.41,10.6189,2,0.24,63,36.7199,32,44.4799,46,18.32,51,19.68,20,11.92,58,25.5199,6,9.03998,35,14.32,29,98.4797,45,52.5599,16,28.9599,180,173.04
